name,artists,year
El Crimen De Culiacán,"['Chalino Sanchez', 'Los Amables Del Norte']",1992
Hey Jealousy,['Gin Blossoms'],1992
Smoke Two Joints,['Sublime'],1992
I'm So Into You,['SWV'],1992
Mi Vida Eres Tú,['Los Temerarios'],1992
Everybody Hurts,['R.E.M.'],1992
God Bless The U.S.A.,['Lee Greenwood'],1992
Jump,['Kris Kross'],1992
Cómo Estás Tú,['Liberación'],1992
No Ordinary Love,['Sade'],1992
Fuck Wit Dre Day (And Everybody's Celebratin'),['Dr. Dre'],1992
Creep - 2017 Remaster,['Stone Temple Pilots'],1992
Aca Entre Nos,['Vicente Fernández'],1992
I Cross My Heart - Pure Country Soundtrack Version,['George Strait'],1992
Bubba Shot The Jukebox,['Mark Chesnutt'],1992
Los Chismes,"['Chalino Sanchez', 'Los Amables Del Norte']",1992
"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",['Eric Clapton'],1992
Down In A Hole,['Alice In Chains'],1992
Change,['Blind Melon'],1992
Let Me Ride,"['Dr. Dre', 'Jewell']",1992
"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",['Eric Clapton'],1992
40oz. To Freedom,['Sublime'],1992
T-R-O-U-B-L-E,['Travis Tritt'],1992
Achy Breaky Heart,['Billy Ray Cyrus'],1992
Bombtrack,['Rage Against The Machine'],1992
Some Girls Do,['Sawyer Brown'],1992
They Reminisce Over You (T.R.O.Y.),['Pete Rock & C.L. Smooth'],1992
Right Here - Human Nature Radio Mix,['SWV'],1992
Unsung,['Helmet'],1992
Scarlet Begonias,['Sublime'],1992
Mario Peralta,"['Chalino Sanchez', 'Los Amables Del Norte']",1992
Arabian Nights,['Bruce Adler'],1992
Sunglasses At Night,['Corey Hart'],1992
Man On The Moon,['R.E.M.'],1992
Freak Me,['Silk'],1992
Don't Walk Away,['Jade'],1992
I'm in a Hurry (And Don't Know Why),['Alabama'],1992
Bed Of Roses,['Bon Jovi'],1992
Pero Te Vas A Arrepentir,"[""Los Yonic's"", 'Marco Antonio Solís']",1992
"If I Had $1,000,000",['Barenaked Ladies'],1992
Know Your Enemy,['Rage Against The Machine'],1992
Finally Friday,['George Jones'],1992
Trashy Women - Remastered Version,['Confederate Railroad'],1992
The King of Wishful Thinking,['Go West'],1992
Que De Raro Tiene,['Vicente Fernández'],1992
Quiereme,['Los Bukis'],1992
What About Your Friends,['TLC'],1992
Wake Up,['Rage Against The Machine'],1992
Life Is A Highway,['Tom Cochrane'],1992
Rump Shaker,['Wreckx-N-Effect'],1992
Back To The Hotel,['N2DEEP'],1992
Heartland - Pure Country/Soundtrack Version,['George Strait'],1992
Fear of the Dark - 2015 Remaster,['Iron Maiden'],1992
If I Ever Fall In Love,['Shai'],1992
Wicked Garden - 2017 Remaster,['Stone Temple Pilots'],1992
Found Out About You,['Gin Blossoms'],1992
Date Rape,['Sublime'],1992
"Beauty and the Beast - from the Soundtrack ""Beauty and the Beast""","['Céline Dion', 'Peabo Bryson']",1992
Me Vale,['Maná'],1992
Bitches Ain't Shit,['Dr. Dre'],1992
Who Do You Love?,['George Thorogood & The Destroyers'],1992
Del Signo Libra,['Grupo Libra'],1992
So What'Cha Want - Remastered 2009,['Beastie Boys'],1992
Prenda Del Alma,"['Chalino Sanchez', 'Los Amables Del Norte']",1992
Bandido De Amores,"['Joan Sebastian', 'Antonio Aguilar']",1992
When You Wish Upon a Star,"['Cliff Edwards', 'Disney Studio Chorus']",1992
These Are Days,"['10,000 Maniacs']",1992
Y Tú Con Él,['Industria del Amor'],1992
Don't Sweat The Technique,['Eric B. & Rakim'],1992
Take The Power Back,['Rage Against The Machine'],1992
Mi Mayor Necesidad,['Los Bukis'],1992
Finally,['CeCe Peniston'],1992
Te Lloré Un Río,['Maná'],1992
Sweet Thing,['Mary J. Blige'],1992
Florita Del Alma,"['Chalino Sanchez', 'Los Amables Del Norte']",1992
Con los Ojos Cerrados,['Gloria Trevi'],1992
This Love,['Pantera'],1992
My Lovin' (You're Never Gonna Get It),['En Vogue'],1992
A Whole New World,"['Lea Salonga', 'Brad Kane']",1992
Nightswimming,['R.E.M.'],1992
Nieves De Enero,"['Chalino Sanchez', 'Los Amables Del Norte']",1992
Extrañándote,['Los Temerarios'],1992
Christmas All Over Again,['Tom Petty and the Heartbreakers'],1992
You're Always On My Mind,['SWV'],1992
If I Ever Fall In Love,"['Shai', 'Bill Appleberry']",1992
Let's Go Get Stoned,['Sublime'],1992
Mrs. Robinson - Remastered,['The Lemonheads'],1992
Sin razón,['Los Acosta'],1992
Lose Control,['Silk'],1992
Mouth for War,['Pantera'],1992
Remedy,['The Black Crowes'],1992
Why,['Annie Lennox'],1992
Pull Me Under,['Dream Theater'],1992
Aneurysm,['Nirvana'],1992
Cats In The Cradle,['Ugly Kid Joe'],1992
Seminole Wind,['John Anderson'],1992
Sweating Bullets - Remastered 2004,['Megadeth'],1992
Giving Him Something He Can Feel,['En Vogue'],1992
One Last Cry,['Brian McKnight'],1992
I Still Believe In You,['Vince Gill'],1992
Amor y Control,['Rubén Blades'],1992
When I Look Into Your Eyes,['Firehouse'],1992
Alma Enamorada,"['Chalino Sanchez', 'Los Amables Del Norte']",1992
Rain When I Die,['Alice In Chains'],1992
Right Here - Human Nature Radio Mix,['SWV'],1992
I'm Every Woman,['Whitney Houston'],1992
Brian Wilson,['Barenaked Ladies'],1992
Para Amarnos Más,['Mijares'],1992
Como La Flor - Remastered,['Selena'],1992
Bullet In The Head,['Rage Against The Machine'],1992
A Quién Quieres Engañar?,['Los Temerarios'],1992
Baby-Baby-Baby,['TLC'],1992
Killing In the Name,['Rage Against The Machine'],1992
La Chica Que Soñé,['Tropical Panamá'],1992
O Él o Yo,['Los Temerarios'],1992
Mi Media Mitad,['Rey Ruiz'],1992
Nearly Lost You,['Screaming Trees'],1992
Lullaby,['Shawn Mullins'],1992
Free Your Mind,['En Vogue'],1992
"Rhythm Is A Dancer - 7"" Edit",['SNAP!'],1992
Sliver,['Nirvana'],1992
Dam That River,['Alice In Chains'],1992
I'm Too Sexy,['Right Said Fred'],1992
Wild Horses,['The Sundays'],1992
No Dejes Que...,['Caifanes'],1992
One Jump Ahead,['Brad Kane'],1992
Move It On Over,['George Thorogood & The Destroyers'],1992
Cherish the Day,['Sade'],1992
Walkaway Joe,['Trisha Yearwood'],1992
American Made,['The Oak Ridge Boys'],1992
Ya Después De Muerto,['Chalino Sanchez'],1992
Opiate,['TOOL'],1992
Magalenha,['Sérgio Mendes'],1992
Corrido Del Gallito,['Chalino Sanchez'],1992
Easy,['Faith No More'],1992
One More Last Chance,['Vince Gill'],1992
Don't Push,['Sublime'],1992
Yo Te Amo,['Los Temerarios'],1992
Pobre soñador,['El Tri'],1992
Grateful,"['Hezekiah Walker', 'Love Fellowship Choir']",1992
Darling Baby,['The Elgins'],1992
Fucking Hostile,['Pantera'],1992
Cuéntame,['Liberación'],1992
Chloe Dancer/Crown Of Thorns,['Mother Love Bone'],1992
Old Hippie,['The Bellamy Brothers'],1992
Galileo,['Indigo Girls'],1992
"Girl, You'll Be a Woman Soon",['Urge Overkill'],1992
Run to You,['Whitney Houston'],1992
Dime Donde Y Cuando,['Los Bukis'],1992
El Hombre Que Yo Amo,['Myriam Hernandez'],1992
5446 Thats My Number/ Ball And Chain,['Sublime'],1992
Just Another Day,['Jon Secada'],1992
A Letter to Elise,['The Cure'],1992
A New Level,['Pantera'],1992
Manuel Juarez,['Joan Sebastian'],1992
El Navegante,"['Chalino Sanchez', 'Los Amables Del Norte']",1992
Hollow,['Pantera'],1992
Cómo Te Deseo,['Maná'],1992
These Arms of Mine,['Otis Redding'],1992
Sometimes Love Just Ain't Enough,"['Patty Smyth', 'Don Henley']",1992
Disconnected,['Face To Face'],1992
Vivir Sin Aire,['Maná'],1992
Connected,"[""Stereo MC's""]",1992
Creep,['Radiohead'],1993
Mr. Jones,['Counting Crows'],1993
Heart-Shaped Box,['Nirvana'],1993
Gin N Juice (feat. Dat Nigga Daz),"['Snoop Dogg', 'Daz Dillinger']",1993
Fade Into You,['Mazzy Star'],1993
Atlantic City,['The Band'],1993
Linger,['The Cranberries'],1993
You Know How We Do It - Remastered,['Ice Cube'],1993
Dreams,['The Cranberries'],1993
